timestemp, imsi, cellID, x, y, label_x, label_y, accuracy (1-MSE)
1732181325281.0,1,5,50.80435,41.273163,55.0,26.0,15.838969997479467
1732181325322.0,2,3,393.18097,41.735836,320.0,324.0,291.5964811387476
1732181325381.0,1,5,49.890762,47.987347,55.0,26.0,22.573163922945927
1732181325422.0,2,3,367.70343,49.79413,320.0,324.0,278.32440885143365
1732181325481.0,1,5,72.47562,7.983261,55.0,26.0,25.099800796022265
1732181325522.0,2,3,378.91748,30.477211,320.0,324.0,299.3775313045386
1732181325581.0,1,5,53.087944,46.233006,55.0,26.0,20.32315075333962
1732181325622.0,2,3,404.16602,35.31474,320.0,324.0,300.70435543071204
1732181325681.0,1,5,82.62622,3.3052483,55.0,26.0,35.752758853338854
1732181325722.0,2,3,346.42184,327.01462,320.0,324.0,26.593265730755267
1732181325781.0,1,5,34.19644,47.725967,55.0,26.0,30.079987766993856
1732181325822.0,2,3,392.28992,37.76912,320.0,324.0,295.21848371164026
1732181325881.0,1,5,50.055878,43.37795,55.0,26.0,18.06757977607526
1732181325922.0,2,3,352.3051,73.9754,320.0,324.0,252.1029985442458
1732181325981.0,1,5,37.685272,29.708492,55.0,26.0,17.70742031960048
1732181326022.0,2,3,381.71698,60.85946,320.0,324.0,270.28119038327475
1732181326081.0,1,5,54.881382,89.17636,55.0,26.0,63.17647383087414
1732181326122.0,2,3,402.58652,37.18091,320.0,324.0,298.4723212669811
1732181326181.0,1,5,46.322968,107.67259,55.0,26.0,82.13222951436299
1732181326222.0,2,3,360.8877,289.12952,320.0,324.0,53.73782792773285
1732181326281.0,1,5,38.970047,46.05372,55.0,26.0,25.673157634954425
1732181326322.0,2,3,343.87326,220.9151,320.0,324.0,105.8131829570399
1732181326381.0,1,5,44.723248,119.82305,55.0,26.0,94.38419346777563
1732181326422.0,2,3,379.6982,47.870304,320.0,324.0,282.50926422862665
1732181326481.0,1,5,37.206097,28.417618,55.0,26.0,17.957390261121866
1732181326522.0,2,3,399.52643,36.649,320.0,324.0,298.15273717928534
1732181326581.0,1,5,79.43637,16.687973,55.0,26.0,26.150527674527908
1732181326622.0,2,3,368.97433,102.89278,320.0,324.0,226.46608293241175
1732181326681.0,1,5,44.80796,115.976746,55.0,26.0,90.55215283367095
1732181326722.0,2,3,366.39935,306.77585,320.0,324.0,49.493143859149825
1732181326781.0,1,5,45.086815,54.836197,55.0,26.0,30.492580824711485
1732181326822.0,2,3,319.72803,256.80667,320.0,324.0,67.19387687761251
1732181326881.0,1,5,43.29783,82.847305,55.0,26.0,58.039272298214165
1732181326922.0,2,3,364.95102,155.45673,320.0,324.0,174.4346000296386
1732181326981.0,1,5,44.837574,67.100784,55.0,26.0,42.338508670077765
1732181327022.0,2,3,349.13257,269.71814,320.0,324.0,61.60541215380857
1732181327081.0,1,5,48.70294,121.45551,55.0,26.0,95.6629928610066
1732181327122.0,2,3,286.36307,272.97763,320.0,324.0,61.112401245062365
1732181327181.0,1,5,64.72708,25.27648,55.0,26.0,9.753952790112237
1732181327222.0,2,3,392.21204,44.58562,320.0,324.0,288.59481760766255
1732181327281.0,1,5,49.079792,84.0348,55.0,26.0,58.335980920199454
1732181327322.0,2,3,369.86246,42.317665,320.0,324.0,286.06155095975413
1732181327381.0,1,5,102.53763,12.522217,55.0,26.0,49.411302417975435
1732181327422.0,2,3,378.22302,45.100002,320.0,324.0,284.912486563857
1732181327481.0,1,5,56.53637,103.81549,55.0,26.0,77.83065488510134
1732181327522.0,2,3,392.38214,40.972885,320.0,324.0,292.13611179123336
1732181327581.0,1,5,68.43122,24.219442,55.0,26.0,13.548730003834192
1732181327622.0,2,3,287.10956,280.21155,320.0,324.0,54.765041009725124
1732181327681.0,1,5,52.97542,51.414497,55.0,26.0,25.495011383969807
1732181327722.0,2,3,325.9385,266.07666,320.0,324.0,58.22696240051189
1732181327781.0,1,5,41.332783,98.346725,55.0,26.0,73.62636618002412
1732181327822.0,2,3,262.42783,234.99573,320.0,324.0,106.00149247180438
1732181327881.0,1,5,42.826733,-0.2803955,55.0,26.0,28.962865797687282
1732181327922.0,2,3,274.87097,219.04626,320.0,324.0,114.24497817874753
1732181327981.0,1,5,72.13586,20.651014,55.0,26.0,17.951300970764454
1732181328022.0,2,3,377.31802,51.697945,320.0,324.0,278.2692463020303
1732181328081.0,1,5,47.83144,41.330074,55.0,26.0,16.92334023117417
1732181328122.0,2,3,358.99985,100.02906,320.0,324.0,227.34109319753435
1732181328181.0,1,5,57.89327,80.60697,55.0,26.0,54.683566822846785
1732181328222.0,2,3,375.28528,44.246357,320.0,324.0,285.16408379650477
1732181328281.0,1,5,41.546486,95.752716,55.0,26.0,71.03828880654784
1732181328322.0,2,3,388.2162,35.96252,320.0,324.0,296.00512031044326
1732181328381.0,1,5,32.228233,67.92129,55.0,26.0,47.70689419681656
1732181328422.0,2,3,375.84894,293.95398,320.0,324.0,63.41819287475795
1732181328481.0,1,5,49.959763,50.8693,55.0,26.0,25.37491100276881
1732181328522.0,2,3,292.65262,359.2361,320.0,324.0,44.60339687395246
1732181328581.0,1,5,49.721935,116.50641,55.0,26.0,90.66018174859072
1732181328622.0,2,3,372.17175,343.23474,320.0,324.0,55.60456085160641
1732181328681.0,1,5,47.886017,34.940327,55.0,26.0,11.42533185547853
1732181328722.0,2,3,373.71588,39.883896,320.0,324.0,289.14935857182877
1732181328781.0,1,5,72.71089,15.452061,55.0,26.0,20.613944865075936
1732181328822.0,2,3,316.99026,98.731995,320.0,324.0,225.2881141449766
1732181328881.0,1,5,45.81508,31.40057,55.0,26.0,10.654995573160155
1732181328922.0,2,3,308.8585,269.06207,320.0,324.0,56.056302785960206
1732181328981.0,1,5,44.641838,42.49772,55.0,26.0,19.479893417536804
1732181329022.0,2,3,369.59415,77.21427,320.0,324.0,251.71964036155384
1732181329081.0,1,5,44.57167,78.485825,55.0,26.0,53.51179046481252
1732181329122.0,2,3,394.82675,31.82369,320.0,324.0,301.60575466990014
1732181329181.0,1,5,48.397587,57.873703,55.0,26.0,32.550342245104545
1732181329222.0,2,3,357.08344,109.02699,320.0,324.0,218.1480557299331
1732181329281.0,1,5,50.5508,70.04172,55.0,26.0,44.265881463252825
1732181329322.0,2,3,333.18915,269.13605,320.0,324.0,56.42700449197618
1732181329381.0,1,5,93.588394,5.350628,55.0,26.0,43.765977830155784
1732181329422.0,2,3,346.26068,247.73288,320.0,324.0,80.66162261745824
1732181329481.0,1,5,23.591461,64.719826,55.0,26.0,49.85700744535566
1732181329522.0,2,3,390.1081,258.49933,320.0,324.0,95.94520530946296
1732181329581.0,1,5,48.535347,67.80799,55.0,26.0,42.304844038260704
1732181329622.0,2,3,273.20966,128.09471,320.0,324.0,201.41553750890222
1732181329681.0,1,5,46.989365,120.613785,55.0,26.0,94.95229579405914
1732181329722.0,2,3,275.90683,242.53757,320.0,324.0,92.63010276092756
1732181329781.0,1,5,61.676613,12.054115,55.0,26.0,15.461722579075873
1732181329822.0,2,3,386.17728,96.52545,320.0,324.0,236.90526686578752
1732181329881.0,1,5,47.485435,53.337402,55.0,26.0,28.35140642179414
1732181329922.0,2,3,380.3413,98.06526,320.0,324.0,233.85376206349557
1732181329981.0,1,5,54.57169,36.567295,55.0,26.0,10.57597151097141
1732181330022.0,2,3,336.00864,215.77771,320.0,324.0,109.39991234142968
1732181330081.0,1,5,51.828453,50.62144,55.0,26.0,24.824867529385983
1732181330122.0,2,3,391.92728,50.477985,320.0,324.0,282.82118080599975
1732181330181.0,1,5,48.202625,49.041084,55.0,26.0,24.022818843660136
1732181330222.0,2,3,311.81476,85.99339,320.0,324.0,238.14731686762713
1732181330281.0,1,5,52.14749,25.528492,55.0,26.0,2.89121500128489
1732181330322.0,2,3,191.07356,287.78937,320.0,324.0,133.91502669603588
1732181330381.0,1,5,22.839777,21.435688,55.0,26.0,32.48250167457954
1732181330422.0,2,3,334.08545,71.749245,320.0,324.0,252.6437168350917
1732181330481.0,1,5,53.091156,21.47785,55.0,26.0,4.908515552879641
1732181330522.0,2,3,352.6101,158.37903,320.0,324.0,168.80084882043693
1732181330581.0,1,5,45.284367,37.897583,55.0,26.0,15.360534313763205
1732181330622.0,2,3,331.97388,51.176025,320.0,324.0,273.0866105743744
1732181330681.0,1,5,11.405964,54.459167,55.0,26.0,52.061158821260406
1732181330722.0,2,3,288.4081,261.33817,320.0,324.0,70.17516100912238
1732181330781.0,1,5,39.185886,98.55938,55.0,26.0,74.26271066499324
1732181330822.0,2,3,342.8276,327.00137,320.0,324.0,23.024071080525566
1732181330881.0,1,5,66.60191,25.805162,55.0,26.0,11.603549650945315
1732181330922.0,2,3,322.64703,134.35318,320.0,324.0,189.66529935981964
1732181330981.0,1,5,49.03874,91.4137,55.0,26.0,65.68476445302974
1732181331022.0,2,3,296.7796,195.34265,320.0,324.0,130.73599500759153
1732181331081.0,1,5,47.73313,45.39272,55.0,26.0,20.70953762715307
1732181331122.0,2,3,371.50415,46.948814,320.0,324.0,281.7978552970196
1732181331181.0,1,5,17.647629,34.27928,55.0,26.0,38.258934822469904
1732181331222.0,2,3,394.17926,37.697327,320.0,324.0,295.75628691542636
1732181331281.0,1,5,55.765736,34.870293,55.0,26.0,8.903282554574016
1732181331322.0,2,3,327.3107,252.47702,320.0,324.0,71.8956390204319
1732181331381.0,1,5,52.36648,37.176575,55.0,26.0,11.482649609973723
1732181331422.0,2,3,269.05902,281.67395,320.0,324.0,66.23049167372797
1732181331481.0,1,5,86.12695,5.445465,55.0,26.0,37.301154119313956
1732181331522.0,2,3,340.27036,51.042965,320.0,324.0,273.7086584079868
1732181331581.0,1,5,50.32958,51.83111,55.0,26.0,26.249933733175286
1732181331622.0,2,3,329.9448,365.7756,320.0,324.0,42.942985173203056
1732181331681.0,1,5,44.39,55.17356,55.0,26.0,31.043015691813633
1732181331722.0,2,3,352.44354,304.29855,320.0,324.0,37.95695547261398
1732181331781.0,1,5,72.45953,-3.8919678,55.0,26.0,34.6174087741179
1732181331822.0,2,3,372.11493,28.754671,320.0,324.0,299.8095619514161
1732181331881.0,1,5,44.380676,57.755215,55.0,26.0,33.483782586336666
1732181331922.0,2,3,370.9878,35.761105,320.0,324.0,292.713877468254
1732181331981.0,1,5,43.166138,115.01333,55.0,26.0,89.79650931933546
1732181332022.0,2,3,275.1922,215.76852,320.0,324.0,117.14005289476141
1732181332081.0,1,5,31.528658,107.56852,55.0,26.0,84.87830787920727
1732181332122.0,2,3,269.44202,271.14706,320.0,324.0,73.14056658564213
1732181332181.0,1,5,89.11763,-5.6267853,55.0,26.0,46.521673586418295
1732181332222.0,2,3,357.45288,37.741844,320.0,324.0,288.6978443156443
1732181332281.0,1,5,47.63539,34.15496,55.0,26.0,10.988213900655671
1732181332322.0,2,3,355.04758,74.62274,320.0,324.0,251.82801205634374
1732181332381.0,1,5,70.37204,8.14286,55.0,26.0,23.562195631737744
1732181332422.0,2,3,403.19794,13.7608185,320.0,324.0,321.2012730555407
1732181332481.0,1,5,93.21201,-0.89307785,55.0,26.0,46.72681786525271
1732181332522.0,2,3,357.6734,48.755547,320.0,324.0,277.8107213103915
1732181332581.0,1,5,45.644444,52.983692,55.0,26.0,28.559517802807985
1732181332622.0,2,3,286.3725,241.53055,320.0,324.0,89.06188596279556
1732181332681.0,1,5,81.1086,0.11628723,55.0,26.0,36.764459580976435
1732181332722.0,2,3,386.6632,41.187225,320.0,324.0,290.56332678953135
1732181332781.0,1,5,75.7836,-1.3185349,55.0,26.0,34.325797528630886
1732181332822.0,2,3,391.45047,40.12266,320.0,324.0,292.73114531511675
1732181332881.0,1,5,45.4704,37.523643,55.0,26.0,14.953514803566042
1732181332922.0,2,3,356.31256,59.439613,320.0,324.0,267.04082962629514
1732181332981.0,1,5,40.49373,66.57719,55.0,26.0,43.092225997344926
1732181333022.0,2,3,377.22443,108.72261,320.0,324.0,222.7532091519671
1732181333081.0,1,5,50.806465,47.304123,55.0,26.0,21.712931296765227
1732181333122.0,2,3,340.68683,143.89627,320.0,324.0,181.28788397187498
1732181333181.0,1,5,70.94087,9.035103,55.0,26.0,23.279156522906252
1732181333222.0,2,3,256.07587,241.50415,320.0,324.0,104.36407596276844
1732181333281.0,1,5,66.53108,116.355675,55.0,26.0,91.0884968468165
1732181333322.0,2,3,339.5804,290.20972,320.0,324.0,39.05349896296105
1732181333381.0,1,5,46.61288,120.399574,55.0,26.0,94.77142526560947
1732181333422.0,2,3,334.5772,219.99133,320.0,324.0,105.02522483462009
1732181333481.0,1,5,47.663322,61.281548,55.0,26.0,36.03629253797916
1732181333522.0,2,3,371.0937,45.634117,320.0,324.0,283.01612144893795
1732181333581.0,1,5,48.015514,53.72226,55.0,26.0,28.588576418915235
1732181333622.0,2,3,413.9542,20.998587,320.0,324.0,317.2337343150946
1732181333681.0,1,5,70.07753,3.4549103,55.0,26.0,27.12218604895665
1732181333722.0,2,3,374.51474,70.724106,320.0,324.0,259.076318992107
1732181333781.0,1,5,44.908535,49.91622,55.0,26.0,25.95810669564821
1732181333822.0,2,3,289.62097,346.8063,320.0,324.0,37.98701014100906
